transaction_id,customer_id,amount,timestamp,customer_avg_amount,txns_last_hour,hour_of_day,is_fraud
FTXN0001,CUST012,1114,2026-08-17T20:07:00,899,2,20,0
FTXN0002,CUST014,1895,2026-08-22T15:32:00,2499,1,15,0
FTXN0003,CUST002,4080,2026-08-12T15:59:00,3999,1,15,0
FTXN0004,CUST015,1319,2026-08-13T17:37:00,1299,2,17,0
FTXN0005,CUST001,2646,2026-08-17T15:16:00,2499,1,15,0
FTXN0006,CUST012,1025,2026-08-17T13:56:00,899,2,13,0
FTXN0007,CUST008,6171,2026-08-11T04:00:00,899,4,4,1
FTXN0008,CUST008,3898,2026-08-25T03:04:00,899,4,3,1
FTXN0009,CUST007,894,2026-08-21T13:55:00,899,1,13,0
FTXN0010,CUST015,1095,2026-08-21T07:26:00,1299,1,7,0
FTXN0011,CUST015,9983,2026-08-18T02:05:00,1299,4,2,1
FTXN0012,CUST013,556,2026-08-24T07:25:00,499,1,7,0
FTXN0013,CUST011,25459,2026-08-29T01:55:00,3999,4,1,1
FTXN0014,CUST001,3110,2026-08-11T17:53:00,2499,1,17,0
FTXN0015,CUST015,7900,2026-08-11T03:29:00,1299,4,3,1
FTXN0016,CUST004,2986,2026-08-15T07:51:00,2499,1,7,0
FTXN0017,CUST002,25939,2026-08-29T04:23:00,3999,4,4,1
FTXN0018,CUST003,1908,2026-08-17T08:28:00,2499,2,8,0
FTXN0019,CUST004,3371,2026-08-17T08:45:00,2499,1,8,0
FTXN0020,CUST002,3670,2026-08-26T07:08:00,3999,1,7,0
FTXN0021,CUST008,792,2026-08-17T17:04:00,899,1,17,0
FTXN0022,CUST005,5494,2026-08-09T07:04:00,3999,2,7,0
FTXN0023,CUST015,4211,2026-08-21T16:12:00,1299,1,16,0
FTXN0024,CUST010,1987,2026-08-09T19:09:00,2499,1,19,0
FTXN0025,CUST015,1564,2026-08-22T09:30:00,1299,1,9,0
FTXN0026,CUST002,3052,2026-08-10T14:23:00,3999,1,14,0
FTXN0027,CUST004,2436,2026-08-23T15:08:00,2499,1,15,1
FTXN0028,CUST011,4868,2026-08-29T12:53:00,3999,2,12,0
FTXN0029,CUST002,25056,2026-08-28T03:57:00,3999,5,3,1
FTXN0030,CUST003,9381,2026-08-15T15:31:00,2499,1,15,0
FTXN0031,CUST008,5675,2026-08-13T01:01:00,899,5,1,1
FTXN0032,CUST010,10899,2026-08-26T01:16:00,2499,5,1,1
FTXN0033,CUST006,4541,2026-08-14T11:53:00,3999,2,11,0
FTXN0034,CUST011,3716,2026-08-23T13:24:00,3999,1,13,1
FTXN0035,CUST003,2781,2026-08-18T07:44:00,2499,1,7,0
FTXN0036,CUST008,1009,2026-08-26T20:06:00,899,1,20,0
FTXN0037,CUST007,1148,2026-08-13T22:11:00,899,1,22,0
FTXN0038,CUST008,741,2026-08-13T13:12:00,899,1,13,0
FTXN0039,CUST005,28019,2026-08-22T04:44:00,3999,3,4,1
FTXN0040,CUST008,786,2026-08-20T08:23:00,899,1,8,0
FTXN0041,CUST009,4629,2026-08-23T09:58:00,3999,1,9,0
FTXN0042,CUST005,2883,2026-08-26T10:54:00,3999,1,10,0
FTXN0043,CUST007,893,2026-08-21T13:21:00,899,2,13,0
FTXN0044,CUST014,2802,2026-08-25T10:13:00,2499,1,10,0
FTXN0045,CUST004,2657,2026-08-29T16:42:00,2499,1,16,0
FTXN0046,CUST005,12570,2026-08-23T19:33:00,3999,1,19,0
FTXN0047,CUST009,2976,2026-08-22T08:38:00,3999,1,8,0
FTXN0048,CUST005,5342,2026-08-23T14:10:00,3999,2,14,0
FTXN0049,CUST009,4401,2026-08-18T11:08:00,3999,1,11,0
FTXN0050,CUST005,3881,2026-08-29T07:13:00,3999,2,7,0
