invoice_id,customer_id,amount,invoice_date,due_date,status,paid_date
INV1001,CUST001,50000,2026-07-20,2026-08-10,unpaid,
INV1002,CUST001,42000,2026-07-12,2026-08-02,paid,2026-08-12
INV1003,CUST001,50000,2026-08-04,2026-08-25,unpaid,
INV1004,CUST001,50000,2026-07-08,2026-07-29,paid,2026-08-08
INV1005,CUST001,15000,2026-07-21,2026-08-11,paid,2026-08-19
INV1006,CUST002,90000,2026-07-16,2026-08-06,paid,2026-08-10
INV1007,CUST002,42000,2026-08-02,2026-08-23,paid,2026-08-23
INV1008,CUST002,68000,2026-06-29,2026-07-20,paid,2026-07-24
INV1009,CUST002,50000,2026-08-05,2026-08-26,unpaid,
INV1010,CUST003,35000,2026-07-24,2026-08-14,paid,2026-08-20
INV1011,CUST003,35000,2026-06-04,2026-06-25,paid,2026-07-04
INV1012,CUST003,35000,2026-08-07,2026-08-28,unpaid,
INV1013,CUST003,22000,2026-06-24,2026-07-15,paid,2026-07-26
INV1014,CUST004,68000,2026-07-05,2026-07-26,paid,2026-08-04
INV1015,CUST004,22000,2026-06-17,2026-07-08,unpaid,
INV1016,CUST004,42000,2026-07-14,2026-08-04,paid,2026-08-12
INV1017,CUST004,22000,2026-06-01,2026-06-22,paid,2026-06-29
INV1018,CUST005,22000,2026-06-10,2026-07-01,paid,2026-07-01
INV1019,CUST005,42000,2026-07-25,2026-08-15,paid,2026-08-18
INV1020,CUST006,42000,2026-08-06,2026-08-27,unpaid,
INV1021,CUST006,50000,2026-06-08,2026-06-29,paid,2026-07-10
INV1022,CUST006,50000,2026-08-13,2026-09-03,pending,
INV1023,CUST006,35000,2026-07-11,2026-08-01,paid,2026-08-07
INV1024,CUST007,68000,2026-07-08,2026-07-29,paid,2026-08-01
INV1025,CUST007,90000,2026-07-12,2026-08-02,paid,2026-08-09
INV1026,CUST008,68000,2026-06-11,2026-07-02,paid,2026-07-15
INV1027,CUST008,22000,2026-06-11,2026-07-02,paid,2026-07-13
INV1028,CUST009,15000,2026-07-25,2026-08-15,paid,2026-08-21
INV1029,CUST009,15000,2026-07-04,2026-07-25,paid,2026-08-03
INV1030,CUST009,15000,2026-06-29,2026-07-20,paid,2026-08-02
INV1031,CUST010,15000,2026-06-03,2026-06-24,paid,2026-06-24
INV1032,CUST010,22000,2026-06-13,2026-07-04,paid,2026-07-11
