settlement_id,reference_id,amount,settlement_date
SETL0001,INV1002,42000,2026-08-13
SETL0002,INV1004,50000,2026-08-09
SETL0003,INV1005,15000,2026-08-22
SETL0004,INV1006,90000,2026-08-11
SETL0005,INV1008,68000,2026-07-26
SETL0006,INV1010,35000,2026-08-23
SETL0007,INV1011,35000,2026-07-05
SETL0008,INV1013,22000,2026-07-29
SETL0009,INV1014,68000,2026-08-05
SETL0010,INV1017,22000,2026-06-30
SETL0011,INV1018,22000,2026-07-02
SETL0012,INV1019,42000,2026-08-20
SETL0013,INV1021,49500,2026-07-12
SETL0014,INV1023,35000,2026-08-08
SETL0015,INV1024,68000,2026-08-02
SETL0016,INV1025,90000,2026-08-12
SETL0017,INV1026,68000,2026-07-17
SETL0018,INV1027,22000,2026-07-14
SETL0019,INV1028,15000,2026-08-24
SETL0020,INV1029,15000,2026-08-04
SETL0021,INV1030,13500,2026-08-03
SETL0022,INV1031,15000,2026-06-27
SETL0023,INV1032,22000,2026-07-14
SETL0024,TXN0001,3989,2026-08-15
SETL0025,TXN0005,3999,2026-08-28
SETL0026,TXN0006,499,2026-08-24
SETL0027,TXN0007,499,2026-08-11
SETL0028,TXN0008,1299,2026-08-20
SETL0029,TXN0009,3999,2026-08-24
SETL0030,TXN0010,2499,2026-08-13
SETL0031,TXN0011,5999,2026-08-17
SETL0032,TXN0012,2499,2026-08-17
SETL0033,TXN0015,2499,2026-08-24
SETL0034,TXN0016,499,2026-08-26
SETL0035,TXN0019,2499,2026-08-15
SETL0036,TXN0020,2499,2026-08-29
SETL0037,TXN0021,5999,2026-08-22
SETL0038,TXN0024,2499,2026-08-20
SETL0039,INV1002,42000,2026-08-17
SETL0040,MANUAL-BANKXFER-001,12000,2026-08-20
