transaction_id,customer_id,amount,status,failure_reason,cart_stage,timestamp
TXN0001,CUST011,3999,success,,,2026-08-14
TXN0002,CUST011,3999,abandoned,,payment_page,2026-08-10
TXN0003,CUST011,5999,abandoned,,otp_verification,2026-08-20
TXN0004,CUST011,899,success,,,2026-08-15
TXN0005,CUST012,3999,success,,,2026-08-27
TXN0006,CUST012,499,success,,,2026-08-22
TXN0007,CUST012,499,success,,,2026-08-09
TXN0008,CUST012,1299,success,,,2026-08-19
TXN0009,CUST013,3999,success,,,2026-08-23
TXN0010,CUST013,2499,success,,,2026-08-11
TXN0011,CUST013,5999,success,,,2026-08-16
TXN0012,CUST013,2499,success,,,2026-08-16
TXN0013,CUST013,5999,failed,insufficient_funds,,2026-08-28
TXN0014,CUST013,499,failed,card_expired,,2026-08-28
TXN0015,CUST014,2499,success,,,2026-08-23
TXN0016,CUST014,499,success,,,2026-08-24
TXN0017,CUST014,5999,success,,,2026-08-15
TXN0018,CUST014,899,abandoned,,payment_page,2026-08-12
TXN0019,CUST015,2499,success,,,2026-08-14
TXN0020,CUST015,2499,success,,,2026-08-28
TXN0021,CUST015,5999,success,,,2026-08-21
TXN0022,CUST015,899,failed,card_expired,,2026-08-12
TXN0023,CUST015,3999,abandoned,,address,2026-08-20
TXN0024,CUST015,2499,success,,,2026-08-19
